Sequence,Process,CycleTime,Category,HC,,,,,1,1,16.66666667
1,Seam crotch,17.805,Sewing,12,,,,,2,1,15.18
2,Attach legs elastic,12.5347619,Sewing,7,,,,,3,1,27.34333333
3,Seam left side,7.013333333,Sewing,5,,,,,4,1,18.74666667
4,Attach waist elastic,7.580833333,Sewing,4,,,,,5,1,18.63
5,Seam right side,10.644,Sewing,5,,,,,6,1,14.07
6,Hem legs elastic,11.47666667,Sewing,6,,,,,7,1,16.39
7,Hem waist,11.09333333,Sewing,5,,,,,8,1,17.61333333
8,Pad printing,2.5,Packing,2,,,,,9,1,20.19
9,Rolling,8.5,Packing,4,,,,,10,1,15.17666667
10,Packing,4.375,Packing,2,,,,,11,1,18.06
11,Casing,1,Packing,1,,,,,12,1,15.59333333
,,,,,,,,,13,2,11.66666667
,,,,,,,,,14,2,14
,,,,,,,,,15,2,13.24333333
,,,,,,,,,16,2,12.77333333
,,,,,,,,,17,2,12.88666667
,,,,,,,,,18,2,11.95333333
,,,,,,,,,19,2,11.22
,,,,,,,,,20,3,7.046666667
,,,,,,,,,21,3,7.033333333
,,,,,,,,,22,3,7.413333333
,,,,,,,,,23,3,6.523333333
,,,,,,,,,24,3,7.05
,,,,,,,,,25,4,6.383333333
,,,,,,,,,26,4,6.666666667
,,,,,,,,,27,4,6.746666667
,,,,,,,,,28,4,10.52666667
,,,,,,,,,29,5,10.71
,,,,,,,,,30,5,10.38
,,,,,,,,,31,5,11.04333333
,,,,,,,,,32,5,10.72666667
,,,,,,,,,33,5,10.36
,,,,,,,,,34,7,13.97666667
,,,,,,,,,35,6,14.59333333
,,,,,,,,,36,7,8.923333333
,,,,,,,,,37,6,10.06
,,,,,,,,,38,6,9.126666667
,,,,,,,,,39,6,14.31333333
,,,,,,,,,40,7,8.806666667
,,,,,,,,,41,6,10.86333333
,,,,,,,,,42,7,13.76
,,,,,,,,,43,7,10
,,,,,,,,,44,6,9.903333333
,,,,,,,,,45,8,2.5
,,,,,,,,,46,8,2.5
,,,,,,,,,47,9,8.5
,,,,,,,,,48,9,8.5
,,,,,,,,,49,9,8.5
,,,,,,,,,50,9,8.5
,,,,,,,,,51,10,4.375
,,,,,,,,,52,10,4.375
,,,,,,,,,53,11,1
